alg,fid,dim,seed,f
RUN,4,10,2049,848.0053229215238
RUN,4,10,2050,840.002685765812
RUN,4,10,2051,838.0053483777042
RUN,4,10,2052,836.28780924606
RUN,4,10,2053,862.000863856508
RUN,4,10,2054,838.0000107008887
RUN,4,10,2055,832.0152972502531
RUN,6,10,2026,52881.97832884116
RUN,6,10,2027,18166.63653006245
RUN,6,10,2028,15321.106066386075
RUN,6,10,2029,16026.890124970694
RUN,6,10,2030,44287.31024660525
RUN,6,10,2031,18841.441034679192
RUN,6,10,2032,15280.993626104886
RUN,6,10,2033,13536.092376754586
RUN,6,10,2034,15328.76469238496
RUN,6,10,2035,29520.811521137693
RUN,6,10,2036,20401.57045507307
RUN,6,10,2037,25926.006711682177
RUN,6,10,2038,12750.70056539284
RUN,6,10,2039,21238.12541539419
RUN,6,10,2040,26625.98522456702
RUN,6,10,2041,24529.009234285888
RUN,6,10,2042,20171.238582254493
RUN,6,10,2043,17321.17726360895
RUN,6,10,2044,17198.822905823832
RUN,6,10,2045,28084.76957985244
RUN,6,10,2046,14992.013466199882
RUN,6,10,2047,14707.855478877882
RUN,6,10,2048,16901.57110077642
RUN,6,10,2049,21846.405606276465
RUN,6,10,2050,26203.183205602007
RUN,6,10,2051,110632.37049661536
RUN,6,10,2052,21618.74614740233
RUN,6,10,2053,15270.8648172082
RUN,6,10,2054,371572.3272599852
RUN,6,10,2055,20195.174597512065
RUN,7,10,2026,2152.122522862124
RUN,7,10,2027,2151.248312440797
RUN,7,10,2028,2097.3727294577466
RUN,7,10,2029,2082.9894074356225
RUN,7,10,2030,2052.1984472061235
RUN,7,10,2031,2043.520639440789
RUN,7,10,2032,2154.3505687381084
RUN,7,10,2033,2053.859525874076
RUN,7,10,2034,2077.6703501873835
RUN,7,10,2035,2163.9240892464472
RUN,7,10,2036,2072.539218583864
RUN,7,10,2037,2174.7274373294395
RUN,7,10,2038,2140.482640720149
RUN,7,10,2039,2055.245300830184
RUN,7,10,2040,2090.024825887981
RUN,7,10,2041,2150.888316398903
RUN,7,10,2042,2133.724431405131
RUN,7,10,2043,2152.421142866304
RUN,7,10,2044,2056.734313420102
RUN,7,10,2045,2124.705317114348
RUN,7,10,2046,2187.10362434335
RUN,7,10,2047,2067.447933142465
RUN,7,10,2048,2064.940176523068
RUN,7,10,2049,2061.329378972272
RUN,7,10,2050,2107.030222923878
RUN,7,10,2051,2132.133536013137
RUN,7,10,2052,2112.641117816844
RUN,7,10,2053,2125.495782068272
RUN,7,10,2054,2115.4581385340284
RUN,7,10,2055,2063.1423231341287
RUN,12,10,2026,2871.7887465450763
RUN,12,10,2027,2869.0195356504228
RUN,12,10,2028,2873.6139587355487
RUN,12,10,2029,2870.9713341355605
RUN,12,10,2030,2870.561710658851
RUN,12,10,2031,2870.7576735894622
RUN,12,10,2032,2869.5938405700595
RUN,12,10,2033,2871.527318682431
RUN,12,10,2034,2873.381271691572
RUN,12,10,2035,2871.3960699590525
RUN,12,10,2036,2870.36262839566
RUN,12,10,2037,2873.535885118163
RUN,12,10,2038,2872.112874544113
RUN,12,10,2039,2874.6540577951096
RUN,12,10,2040,2869.537361011025
RUN,12,10,2041,2875.179760018793
RUN,12,10,2042,2870.711244857195
RUN,12,10,2043,2871.7757086418064
RUN,12,10,2044,2871.910302162631
RUN,12,10,2045,2871.4209686678705
RUN,12,10,2046,2871.941731365729
RUN,12,10,2047,2870.153658679821
RUN,12,10,2048,2869.737146361416
RUN,12,10,2049,2875.785523425927
RUN,12,10,2050,2870.956694706241
RUN,12,10,2051,2875.7652243678394
RUN,12,10,2052,2870.493130191463
RUN,12,10,2053,2867.8115775226497
RUN,12,10,2054,2870.9107944364755
