,ABMO,AS,IA,IA+AS
mean_rank,3.2083333333333335,1.9583333333333333,3.2916666666666665,1.5416666666666667
1,300.00000000000006,300.00000000000006,300.00000000000006,300.00000000000006
2,413.7352533156162,410.50777448919547,420.4222982718271,407.50711426636263
3,600.0007286230326,600.0000000000001,600.0000000000001,600.0000000000001
4,879.7866171355379,843.2421567904919,882.1500000000003,844.9034050923252
5,902.1503579165542,900.9945125837268,902.2325896287693,900.21776296129
6,24123.905699841016,14561.743500483797,21043.64105893363,11281.253005319924
7,2071.7641980927087,2052.069807886642,2063.9132286561858,2030.698922782564
8,2314.476504752759,2267.5196684513835,2265.0931234733125,2221.7004255472884
9,2668.8650109084406,2595.635904900123,2667.731129833149,2603.9054865392686
10,2913.8692559757965,2799.8888620437874,2915.055436776765,2769.792909103426
11,2782.4353291404786,2782.6462174952217,2839.5626300336435,2836.5828789207026
12,2892.234074248949,2886.723911726223,2899.3298884799638,2869.720737620105
